popularity,release_date_y,genres
82,12/6/19,melodic rap
70,4/3/20,rap
70,4/3/20,hip hop
79,5/8/20,pop
70,5/22/20,art pop
70,5/22/20,pop
3,8/28/20,k-pop
74,9/25/20,rap
79,10/30/20,pop
1,11/20/20,k-pop
49,3/5/21,rap
49,3/5/21,hip hop
2,5/21/21,k-pop
2,7/9/21,k-pop
73,9/3/21,rap
73,9/3/21,hip hop
80,10/14/21,soft pop
83,4/29/22,rap
80,6/17/22,rap
80,6/17/22,hip hop
77,9/22/22,soft pop
77,1/31/23,country
75,3/24/23,k-pop
79,12/9/22,r&b
2,5/19/23,country
2,5/19/23,acoustic country
73,8/11/23,country
86,8/25/23,country
86,8/25/23,red dirt
68,9/15/23,rap
68,9/15/23,hip hop
75,10/6/23,rap
75,10/6/23,hip hop
72,10/19/64,christmas
74,1/12/24,pop
87,3/8/24,pop
87,3/22/24,rap
